index,n_imgs,maxN,stepN,repN,batch_size,n_threads,name,time,order,wait0_0,wait0_1,wait_0,wait_1,copy1_0,copy1_1,copy2_0,copy2_1,run_0,run_1,ttime_0,ttime_1,wtime_0,wtime_1
56,33,81,2,4,33,2,parallel,0.035839988999214256,True,0.0,0.00055,0.0,0.00055,0.005344542965758592,0.0021614300130750053,0.0015823820067453198,0.0001849422260420397,0.027209638767089928,0.03161234923391021,0.0343110310168413,0.03509714574101963,2.5024539354490116e-05,0.0010784770165628288
57,35,81,2,4,35,2,parallel,0.03804709299947717,True,0.0,0.00055,0.0,0.00055,0.0056477785074093845,0.002289848998771049,0.0016643772432871629,0.00020288950690883212,0.028997737244935706,0.0336356124971644,0.03649766050148173,0.03727752649865579,2.6999503461411223e-05,0.0010874780018639285
58,37,81,2,4,37,2,parallel,0.040927617250417825,True,0.0,0.00055,0.0,0.000675,0.006127833999926224,0.0024584407401562203,0.0017728494785842486,0.00020699175729532726,0.03127168726132368,0.03581083900644444,0.039371236016449984,0.04013422500065644,2.8474263672251254e-05,0.0015892062656348571
59,39,81,2,4,39,2,parallel,0.04338521049794508,True,0.0,0.0005250000000000001,0.0,0.001,0.006469269228546182,0.002572462984971935,0.0018793692433973774,0.00021526648197323084,0.03322267500334419,0.03769195799759473,0.04177962924586609,0.04255924650715315,2.9898787033744156e-05,0.0020068377743882593
60,41,81,2,4,41,2,parallel,0.049288153499219334,True,0.0,0.0006000000000000001,0.0,0.00065,0.007164136251958553,0.002719054744375171,0.0020889599400106817,0.0002318645092600491,0.03444967701580026,0.044002133272442734,0.043936462003330234,0.0484258644937654,3.3049509511329234e-05,0.001395214734657202
61,43,81,2,4,43,2,parallel,0.04790858825072064,True,0.0,0.0006000000000000001,0.0,0.0008000000000000001,0.0073808037595881615,0.002980970992211951,0.002127232768543763,0.00024341473181266338,0.03654933299549157,0.0420886167921708,0.04629018348350655,0.047023227973113535,3.532348637236282e-05,0.001628928195714252
62,45,81,2,4,45,2,parallel,0.05066446825003368,True,0.0,0.0006000000000000001,0.0,0.0007750000000000001,0.007529047750722384,0.0030260662315413356,0.002273825004522223,0.00025348626149934717,0.0390194260107819,0.044841648748843,0.04906593649138813,0.04982542927245959,3.5548506275517866e-05,0.0016216055410041008
63,47,81,2,4,47,2,parallel,0.05137383750115987,True,0.0,0.000575,0.0,0.000575,0.007951879753818503,0.0030983412652858533,0.002263000984385144,0.0002686890074983239,0.039191667259729,0.04595022273497307,0.04965118650579825,0.05051962451761938,3.63487379217986e-05,0.0011166754811711144
64,49,81,2,4,49,2,parallel,0.05443625424959464,True,0.0,0.0007250000000000002,0.0,0.0008750000000000001,0.008311038982355967,0.003206810255505843,0.0023604952548339497,0.00027361151660443284,0.040986564512422774,0.04735546397569124,0.05191291298979195,0.052688329727970995,3.7548004911514e-05,0.0017623235071368981
65,51,81,2,4,51,2,parallel,0.05526734300292446,True,0.0,0.000575,0.0,0.000575,0.008603573260188568,0.0033536779919813853,0.0024516188095731195,0.0002828599826898426,0.04228406046968303,0.049510295251820935,0.053607464989909204,0.054368781740777194,3.9673217543167993e-05,0.0011290510083199479
