index,n_imgs,maxN,stepN,repN,batch_size,n_threads,name,time,order,wait0_0,wait0_1,wait0_2,wait0_3,wait_0,wait_1,wait_2,wait_3,copy1_0,copy1_1,copy1_2,copy1_3,copy2_0,copy2_1,copy2_2,copy2_3,run_0,run_1,run_2,run_3,ttime_0,ttime_1,ttime_2,ttime_3,wtime_0,wtime_1,wtime_2,wtime_3
53,27,81,2,4,27,4,parallel,0.04488291474990547,True,0.0,0.0008000000000000001,0.0011750000000000005,0.0013750000000000004,0.0,0.008450000000000004,0.013574999999999974,0.014649999999999965,0.004638089995751216,0.0016799747490949812,0.0018647962469913182,0.002151085744117154,0.0019941435020882636,0.003476798005067394,0.00424207650758035,0.0003552147481968859,0.03609386950120097,0.012339616248027596,0.006965820498407993,0.009053261250301148,0.042871848751929065,0.04329418649922445,0.043719623246033734,0.0438470967583271,2.1374752577685285e-05,0.02566935199774889,0.030535407998286246,0.03223831176273961
54,29,81,2,4,29,4,parallel,0.04871005299992248,True,0.0,0.0007500000000000001,0.0011000000000000003,0.0013000000000000004,0.0,0.009999999999999995,0.015249999999999963,0.016224999999999955,0.004970430248249613,0.0017703457506286213,0.001980042504328594,0.0022649329994237632,0.002090538500851835,0.003568669500054966,0.004349722995357297,0.0003428667514526751,0.03936949974649906,0.01315286725275655,0.007469455504178768,0.009084610502213764,0.04659053900741128,0.04706222700224316,0.04750341399903846,0.04764298525333288,2.349900569242891e-05,0.028437597249649116,0.03358722174743889,0.03589880100389564
55,31,81,2,4,31,4,parallel,0.050950362749972555,True,0.0,0.0007250000000000002,0.0011000000000000003,0.0012750000000000003,0.0,0.009924999999999996,0.015074999999999965,0.016474999999999955,0.005674634752722341,0.0018400969956928748,0.0021495369928743457,0.0024706514941499336,0.0021601139997073915,0.003669842497401987,0.00447714550409728,0.00043286200343573,0.040887055746679835,0.01417801025127119,0.007768848502564651,0.010885433000112243,0.04889027375247679,0.049274486494141456,0.04971209874656779,0.049839044751934125,2.497449986549327e-05,0.029441339999721095,0.03518882100524934,0.0359968495040448
56,33,81,2,4,33,4,parallel,0.05332154349980556,True,0.0,0.0007000000000000001,0.0010500000000000002,0.0012500000000000002,0.0,0.010274999999999992,0.016224999999999955,0.01759999999999995,0.005629611741824192,0.0019861940054397564,0.0024804022496027756,0.00260012375201768,0.0022284085007413523,0.003757664995646337,0.004606665502251417,0.0003988874987044255,0.042774051007654634,0.016168526000910788,0.008598999746936897,0.010997479752404615,0.05081016724670917,0.051432698250209796,0.052064905750739854,0.052200876252754824,2.664974999788683e-05,0.029365141751441115,0.036241116002202034,0.0381499367467768
57,35,81,2,4,35,4,parallel,0.0577427144999092,True,0.0,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.0,0.012199999999999982,0.018224999999999943,0.01964999999999994,0.006628458000704995,0.0020755902587552555,0.0023933557495183777,0.0027057710040025995,0.002256158993986901,0.003884436248881684,0.004724038246422424,0.0004008630057796836,0.04662641100367182,0.015508771496570262,0.008398604250942299,0.012224267743476958,0.05570312274903699,0.05607368874552776,0.05650572625108907,0.05663769700186094,2.897374542953912e-05,0.03444924449286191,0.04084680650430528,0.041249097252148204
58,37,81,2,4,37,4,parallel,0.059202047000326274,True,0.0,0.0007000000000000001,0.0011000000000000003,0.0013250000000000007,0.0,0.01214999999999998,0.016674999999999954,0.019924999999999936,0.006268693746278586,0.002238410754216602,0.002609524252875417,0.0030443627501881565,0.0023735542408758192,0.004034457250781998,0.004898431507172063,0.00046578799720009556,0.047967650258215144,0.016966103991762793,0.010992505000103847,0.0121375442495264,0.0568241159999161,0.05723142900114908,0.057931659242967726,0.058065329747478245,3.11740004690364e-05,0.033821911250015546,0.039274652994208736,0.0423538630029725
59,39,81,2,4,39,4,parallel,0.06292656299956434,True,0.0,0.0007250000000000002,0.0010500000000000002,0.0012250000000000004,0.0,0.013049999999999977,0.01937499999999994,0.02112499999999993,0.006949421245735721,0.002325980752175383,0.0026860725020014797,0.0030245612551880185,0.002456852011164301,0.004237849996570731,0.005055028249444149,0.0004938604988637962,0.05095544025061827,0.01756591350022063,0.00944517398966127,0.01373495024836302,0.060581057505260105,0.061021042751235655,0.06162992649478838,0.061764872747517074,3.282425223005703e-05,0.03671407924775849,0.04428218175235088,0.04444697750022897
60,41,81,2,4,41,4,parallel,0.06531091875058337,True,0.0,0.0008000000000000001,0.0011000000000000003,0.0012750000000000003,0.0,0.013449999999999974,0.019824999999999936,0.022124999999999923,0.007134691241844848,0.002483127495906956,0.0028685662528005196,0.003440726508415537,0.002557124995291815,0.004244899503646593,0.005120275254739681,0.0005258615055936389,0.05316042425329215,0.018945496750347957,0.010942156494820665,0.013112864744471153,0.06308043325134349,0.06354969475432881,0.06398395699397952,0.064134952997847,3.479850511212135e-05,0.03768360075355304,0.044878414247250475,0.04698605124303867
61,43,81,2,4,43,4,parallel,0.06748540500029776,True,0.0,0.000675,0.0010750000000000002,0.0012500000000000002,0.0,0.013849999999999972,0.021324999999999927,0.02282499999999992,0.007395458498649532,0.002554501487793459,0.002926538253632316,0.003297753998594999,0.0025908749985319446,0.004298273503081873,0.005246397252449242,0.0005171337552383193,0.055066442498173274,0.019827571753921802,0.010589441495540086,0.013929768749221694,0.06528551874816912,0.0657294059965352,0.06616571774702606,0.06628729025487701,3.6149755942460615e-05,0.03885433925734105,0.04722742225203547,0.04847171050914767
62,45,81,2,4,45,4,parallel,0.07211656975050573,True,0.0,0.0007500000000000002,0.0011250000000000003,0.0013250000000000007,0.0,0.015199999999999964,0.02242499999999992,0.024624999999999904,0.007799922754202271,0.0026679935081119766,0.003091910258262942,0.003552395250153495,0.002402231495580054,0.0046716907527297735,0.005539287501051149,0.0006467572475230554,0.05945176424847887,0.020143188743531937,0.011448915753135225,0.015469972257960762,0.06990731150654028,0.07029232300737931,0.07071613649532082,0.0708992807467439,4.597375027515227e-05,0.04260838250138477,0.050452227995265275,0.05115145799936727
