index,n_imgs,maxN,stepN,repN,batch_size,n_threads,name,time,wait0_0,wait_0,order,wait0_1,wait0_2,wait0_3,wait_1,wait_2,wait_3
28,57,81,2,4,57,1,sequence,0.09944012933344008,0,0,True,,,,,,
29,59,81,2,4,59,1,sequence,0.10210211833342935,0,0,True,,,,,,
30,61,81,2,4,61,1,sequence,0.1129919666667168,0,0,True,,,,,,
31,63,81,2,4,63,1,sequence,0.11190183166672796,0,0,True,,,,,,
32,65,81,2,4,65,1,sequence,0.12214889966677826,0,0,True,,,,,,
33,67,81,2,4,67,1,sequence,0.11650319766658868,0,0,True,,,,,,
34,69,81,2,4,69,1,sequence,0.1192053519998808,0,0,True,,,,,,
35,71,81,2,4,71,1,sequence,0.12558433233334654,0,0,True,,,,,,
36,73,81,2,4,73,1,sequence,0.12682952966664138,0,0,True,,,,,,
37,75,81,2,4,75,1,sequence,0.13029452799992214,0,0,True,,,,,,
38,77,81,2,4,77,1,sequence,0.1402939026667506,0,0,True,,,,,,
39,79,81,2,4,79,1,sequence,0.1400145776666856,0,0,True,,,,,,
40,1,81,2,4,1,4,parallel,0.00393138499991134,0,0,True,0.0008000000000000001,0.0012000000000000003,0.0014000000000000004,0.0008000000000000001,0.0012000000000000003,0.0014000000000000004
41,3,81,2,4,3,4,parallel,0.006700670999938059,0,0,True,0.0008000000000000001,0.0013000000000000004,0.0015000000000000005,0.0013000000000000004,0.0020000000000000005,0.0024
42,5,81,2,4,5,4,parallel,0.009571187000043816,0,0,True,0.0008000000000000001,0.0012000000000000003,0.0014000000000000004,0.0019000000000000006,0.0024,0.002899999999999999
43,7,81,2,4,7,4,parallel,0.013059585333394352,0,0,True,0.0008000000000000001,0.0012000000000000003,0.0014000000000000004,0.0022,0.0038999999999999972,0.004199999999999998
44,9,81,2,4,9,4,parallel,0.01561331066659477,0,0,True,0.0008000000000000001,0.0012000000000000003,0.0014000000000000004,0.003499999999999998,0.005300000000000001,0.005700000000000002
45,11,81,2,4,11,4,parallel,0.018717919999896065,0,0,True,0.0008000000000000001,0.0012000000000000003,0.0014000000000000004,0.0037999999999999974,0.006000000000000003,0.006200000000000003
46,13,81,2,4,13,4,parallel,0.021815296333443257,0,0,True,0.0008000000000000001,0.0012000000000000003,0.0014000000000000004,0.0043999999999999985,0.007000000000000005,0.007200000000000006
47,15,81,2,4,15,4,parallel,0.025141898999966845,0,0,True,0.0008000000000000001,0.0012000000000000003,0.0014000000000000004,0.0038999999999999972,0.0059000000000000025,0.007300000000000006
48,17,81,2,4,17,4,parallel,0.029671733333240507,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.005600000000000002,0.008900000000000002,0.0093
49,19,81,2,4,19,4,parallel,0.030626005333336554,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.005,0.007600000000000007,0.009000000000000001
50,21,81,2,4,21,4,parallel,0.03569659066670283,0,0,True,0.0009000000000000002,0.0013000000000000004,0.0015000000000000005,0.006800000000000005,0.010399999999999993,0.011199999999999988
51,23,81,2,4,23,4,parallel,0.036617596999955516,0,0,True,0.0008000000000000001,0.0013000000000000004,0.0014000000000000004,0.005,0.009699999999999997,0.01069999999999999
52,25,81,2,4,25,4,parallel,0.041279661000013824,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.007900000000000008,0.012199999999999982,0.01409999999999997
53,27,81,2,4,27,4,parallel,0.04371012333331237,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.008600000000000003,0.01399999999999997,0.014999999999999965
54,29,81,2,4,29,4,parallel,0.04951548700000785,0,0,True,0.0007000000000000001,0.0010000000000000002,0.0012000000000000003,0.008700000000000003,0.015399999999999962,0.016199999999999957
55,31,81,2,4,31,4,parallel,0.05016586833335168,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.008800000000000002,0.014799999999999966,0.01599999999999996
56,33,81,2,4,33,4,parallel,0.052829990000039594,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.011599999999999985,0.01759999999999995,0.018799999999999942
57,35,81,2,4,35,4,parallel,0.05571407266673608,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.01239999999999998,0.01889999999999994,0.019899999999999935
58,37,81,2,4,37,4,parallel,0.05883458166666363,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.012199999999999982,0.018799999999999942,0.020399999999999932
59,39,81,2,4,39,4,parallel,0.061613166999904934,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.012099999999999982,0.019399999999999938,0.02059999999999993
60,41,81,2,4,41,4,parallel,0.06771072233338297,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.0093,0.017799999999999948,0.02059999999999993
61,43,81,2,4,43,4,parallel,0.06694447833327406,0,0,True,0.0007000000000000001,0.0010000000000000002,0.0012000000000000003,0.015099999999999964,0.022099999999999922,0.024399999999999908
62,45,81,2,4,45,4,parallel,0.07180666933330333,0,0,True,0.0006000000000000001,0.0010000000000000002,0.0012000000000000003,0.012199999999999982,0.019599999999999937,0.021999999999999922
63,47,81,2,4,47,4,parallel,0.07276050833343106,0,0,True,0.0007000000000000001,0.0010000000000000002,0.0012000000000000003,0.015599999999999961,0.02409999999999991,0.026599999999999895
64,49,81,2,4,49,4,parallel,0.0756499569999202,0,0,True,0.0009000000000000002,0.0013000000000000004,0.0015000000000000005,0.016799999999999954,0.0255999999999999,0.026899999999999893
65,51,81,2,4,51,4,parallel,0.07785189266663413,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.016899999999999953,0.0256999999999999,0.02759999999999989
66,53,81,2,4,53,4,parallel,0.08213313433331375,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.015199999999999964,0.026599999999999895,0.028499999999999883
67,55,81,2,4,55,4,parallel,0.08264015299998088,0,0,True,0.0008000000000000001,0.0011000000000000003,0.0013000000000000004,0.017799999999999948,0.025999999999999898,0.02909999999999988
68,57,81,2,4,57,4,parallel,0.08833015333342094,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.018299999999999945,0.02759999999999989,0.03059999999999987
69,59,81,2,4,59,4,parallel,0.09165718933339424,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.023299999999999915,0.033599999999999935,0.03620000000000001
70,61,81,2,4,61,4,parallel,0.09073758299988792,0,0,True,0.0007000000000000001,0.0010000000000000002,0.0012000000000000003,0.020299999999999933,0.030199999999999873,0.0322999999999999
71,63,81,2,4,63,4,parallel,0.09935899799999486,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.018299999999999945,0.03049999999999987,0.03269999999999991
72,65,81,2,4,65,4,parallel,0.09648021533333424,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.020399999999999932,0.02759999999999989,0.03369999999999994
73,67,81,2,4,67,4,parallel,0.10371690399991469,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.020099999999999934,0.03169999999999988,0.0359
74,69,81,2,4,69,4,parallel,0.10430831999989702,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.02239999999999992,0.03349999999999993,0.0359
75,71,81,2,4,71,4,parallel,0.10601507033334201,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.022999999999999916,0.032899999999999915,0.038800000000000084
76,73,81,2,4,73,4,parallel,0.10816264066655397,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.025299999999999902,0.03539999999999999,0.03840000000000007
77,75,81,2,4,75,4,parallel,0.11122281833331726,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.024499999999999907,0.03720000000000004,0.04070000000000014
78,77,81,2,4,77,4,parallel,0.11578591866676409,0,0,True,0.0007000000000000001,0.0010000000000000002,0.0012000000000000003,0.0255999999999999,0.036400000000000016,0.041300000000000156
79,79,81,2,4,79,4,parallel,0.12191467333332184,0,0,True,0.0007000000000000001,0.0011000000000000003,0.0013000000000000004,0.031199999999999867,0.0428000000000002,0.04810000000000035
